X.1,COVID-19 Patienten (nicht beatmet),COVID-19 Patienten (beatmet)
2020-04-24,730,1971
2020-04-25,687,1883
2020-04-26,684,1857
2020-04-27,680,1729
2020-04-28,719,1748
2020-04-29,696,1719
2020-04-30,675,1605
2020-05-01,640,1549
2020-05-02,597,1508
2020-05-03,538,1441
2020-05-04,553,1396
2020-05-05,591,1346
2020-05-06,573,1311
2020-05-07,593,1230
2020-05-08,527,1185
2020-05-09,529,1121
2020-05-10,508,1073
2020-05-11,513,1063
2020-05-12,519,1020
2020-05-13,491,974
2020-05-14,437,892
2020-05-15,456,838
2020-05-16,382,821
2020-05-17,369,797
2020-05-18,386,747
2020-05-19,399,716
2020-05-20,373,672
2020-05-21,365,651
2020-05-22,368,597
2020-05-23,341,578
2020-05-24,327,562
2020-05-25,326,547
2020-05-26,296,525
2020-05-27,281,482
2020-05-28,293,451
2020-05-29,303,426
2020-05-30,299,421
2020-05-31,292,410
2020-06-01,292,385
2020-06-02,311,378
2020-06-03,272,360
2020-06-04,259,341
2020-06-05,256,339
2020-06-06,239,337
2020-06-07,238,330
2020-06-08,224,316
2020-06-09,213,320
2020-06-10,199,293
2020-06-11,181,281
2020-06-12,173,274
2020-06-13,178,262
2020-06-14,166,256
2020-06-15,163,262
2020-06-16,161,258
2020-06-17,154,252
2020-06-18,156,240
2020-06-19,149,227
2020-06-20,142,219
2020-06-21,144,198
2020-06-22,148,201
2020-06-23,143,194
2020-06-24,149,182
2020-06-25,164,196
2020-06-26,166,198
2020-06-27,157,188
2020-06-28,149,189
2020-06-29,149,183
2020-06-30,163,174
2020-07-01,159,170
2020-07-02,167,160
2020-07-03,157,161
2020-07-04,163,159
2020-07-05,149,149
2020-07-06,160,145
2020-07-07,154,144
2020-07-08,151,141
2020-07-09,142,133
2020-07-10,146,132
2020-07-11,125,127
2020-07-12,128,125
2020-07-13,134,130
2020-07-14,141,125
2020-07-15,128,120
2020-07-16,134,121
2020-07-17,131,118
2020-07-18,131,116
2020-07-19,133,116
2020-07-20,126,120
2020-07-21,132,122
2020-07-22,123,127
2020-07-23,112,127
2020-07-24,118,119
2020-07-25,123,126
2020-07-26,139,130
2020-07-27,128,133
2020-07-28,132,126
2020-07-29,131,130
2020-07-30,134,132
2020-07-31,140,125
2020-08-01,139,122
2020-08-02,143,129
2020-08-03,140,130
2020-08-04,101,129
2020-08-05,99,140
2020-08-06,105,131
2020-08-07,96,134
2020-08-08,96,135
2020-08-09,100,136
2020-08-10,98,132
2020-08-11,95,139
2020-08-12,87,137
2020-08-13,87,137
2020-08-14,97,133
2020-08-15,93,134
2020-08-16,90,134
2020-08-17,94,134
2020-08-18,92,135
2020-08-19,86,142
2020-08-20,94,137
2020-08-21,92,144
2020-08-22,93,140
2020-08-23,109,136
2020-08-24,113,132
2020-08-25,90,133
2020-08-26,95,133
2020-08-27,101,140
2020-08-28,96,140
2020-08-29,107,134
2020-08-30,114,131
2020-08-31,118,128
2020-09-01,103,132
2020-09-02,103,125
2020-09-03,96,127
2020-09-04,97,128
2020-09-05,97,126
2020-09-06,92,126
2020-09-07,94,134
2020-09-08,100,130
2020-09-09,94,133
2020-09-10,104,129
2020-09-11,101,119
2020-09-12,115,118
2020-09-13,113,123
2020-09-14,114,123
2020-09-15,107,129
2020-09-16,105,128
2020-09-17,103,135
2020-09-18,112,134
2020-09-19,113,144
2020-09-20,124,144
2020-09-21,122,145
2020-09-22,127,151
2020-09-23,134,159
2020-09-24,130,166
2020-09-25,140,164
2020-09-26,140,172
2020-09-27,146,179
2020-09-28,162,191
2020-09-29,157,195
2020-09-30,160,195
2020-10-01,169,193
2020-10-02,174,199
2020-10-03,200,204
2020-10-04,212,212
2020-10-05,237,210
2020-10-06,230,219
2020-10-07,237,233
2020-10-08,248,239
2020-10-09,258,252
2020-10-10,254,278
2020-10-11,270,275
2020-10-12,304,286
2020-10-13,299,319
2020-10-14,279,323
2020-10-15,326,329
2020-10-16,349,341
2020-10-17,385,345
2020-10-18,415,354
2020-10-19,462,389
2020-10-20,468,411
2020-10-21,519,424
2020-10-22,571,459
2020-10-23,643,478
2020-10-24,670,533
2020-10-25,718,578
